,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
Sox17,-0.27274045,-0.24641015,0.12241668,-0.04509162,-0.2871511,-0.78952295,0.67140967,-1.0450758,0.37100375,0.50735044,0.37974536,-0.274546,0.1963099,-0.24071984,0.120629795,0.14070933,0.9771603,0.89612275,1.3048143,0.47562358
Tfap2b,-0.20003118,-0.8661006,-1.0431752,0.26463538,0.44113946,0.31645852,0.23102893,0.24166171,-1.1897198,2.0349932,0.72457623,0.5246092,-0.2670294,-0.6033686,-3.0581894,0.12118403,-0.3794374,-2.7049975,2.6959343,0.2054269
Cfc1,-0.3477145,0.62412626,0.08849305,0.013252758,-0.36855894,0.049087454,-0.031557173,-0.61749184,0.021972679,0.40750378,-0.2964338,-0.349046,0.16251431,-0.10841239,-0.7091844,-0.30089477,0.98742443,0.8579231,0.6560685,-0.98188555
Col3a1,0.11053742,0.892152,0.19439276,0.5848412,0.22126706,-0.14274685,-0.2023255,0.46760175,-0.41780204,1.1860707,0.3269114,0.11396948,-0.20677094,0.26268202,-2.6604843,0.7369775,1.2204416,-1.991427,2.4477968,-0.24173449
Sdpr,-0.010300477,0.03227036,-0.24571112,0.23547994,0.36931744,0.4309608,-0.23625362,-0.13837615,0.07929834,1.9861552,-0.66021335,-0.032299466,0.11410752,0.21940018,-2.1270244,0.73539084,0.4565956,-1.2984076,1.926121,-0.06341841
Inpp1,-0.07188784,0.12455677,0.22387052,0.26531914,0.04245187,-0.05333165,0.12716483,0.41050172,-0.065055676,0.84626096,-0.11177262,0.008528333,-0.20095426,-0.15422767,-0.6444097,0.05855542,-0.7528404,0.28954703,0.5620385,0.41156515
Myl1,-0.09424159,0.033699643,0.13203846,-1.101275,-0.1287532,-0.32314602,-0.18392307,-0.01259071,-0.14440028,1.6101178,0.07085403,-0.5649395,0.001026775,0.15247872,-2.3812318,-0.5687922,0.500403,-1.1429642,1.4016899,-0.2749111
Fn1,0.24145654,-0.08471198,-0.15359783,0.21339501,-0.11241354,-0.13402517,-0.121570356,-0.26671928,-0.028851008,-0.010222553,0.27878514,-0.5574229,0.00029198418,0.21799707,-0.46870497,-0.069376886,0.9167386,0.03205292,-0.4722797,-0.062968604
Igfbp2,-0.20000353,0.09725183,-0.28740317,0.08935031,-0.021284826,0.14892997,0.022038795,-0.05071046,0.0861676,-0.99113953,0.042387377,0.4951094,-0.15792951,0.18709002,-0.8751043,0.3066208,0.025262438,0.98596036,-0.765749,0.08065227
Igfbp5,0.30752027,0.4175568,0.10520576,-0.22204213,-0.1551138,-0.62772775,-0.055645097,-0.24559088,-0.4419521,0.014216123,0.09797686,0.8408586,0.086926885,-0.101601355,-0.37524426,0.5335876,1.0054181,-0.43767163,1.3397497,0.19792743
Vil1,-0.15494682,-0.054996517,0.21926148,-0.20975721,-0.23307897,-0.07172902,0.055168297,-0.26467386,0.0529703,0.3623305,-0.3122952,0.24174231,0.09556762,0.20389913,0.3259824,-0.10369835,0.67155766,-0.012044834,2.4371505,0.22332488
Wnt6,-0.27634537,0.27518043,-0.8483857,0.23178843,0.32714248,0.03929634,0.018572316,-0.10984807,0.25244242,2.0076501,-0.37489107,0.65544397,0.22615819,0.11281306,-0.9003358,-0.34030148,-0.96079487,-0.26768908,0.30451012,-0.34514302
